total ratings,growth (30 days),growth (60 days),price,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,average rating
785744,5.3,12.1,0,536913,64388,44758,31691,107992,4.13
785634,0.6,1.4,0,519219,44419,40672,27978,153344,3.95
783346,0.4,0.8,0,532777,79244,56302,30912,84108,4.21
771705,8.1,17.3,0,570768,110631,47089,14176,29038,4.53
767518,0.6,1.2,1.99,623950,73997,25169,9705,34694,4.62
751905,0,0.1,0,602986,86561,31527,9119,21710,4.65
714303,4.5,9.6,0,533521,57462,30996,18941,73380,4.34
690408,0,0,0,457063,98278,54702,19323,61040,4.26
684029,0,0.1,0,403782,94046,58979,27439,99781,3.99
680833,0.8,1.6,0,452995,76508,50755,25712,74859,4.19
658778,0.2,0.4,0,482649,62720,37136,17205,59065,4.36
612880,9.8,23.2,0,412006,57421,32365,20471,90613,4.11
607891,0.9,2.3,0,345285,85882,56078,32737,87907,3.93
607415,0.2,0.6,0,518005,33306,15855,7728,32518,4.64
606058,1.9,4.7,0,430289,62631,29278,19002,64857,4.28
597177,2.1,4.6,0,461516,57677,26461,10521,41000,4.49
594320,4.8,10.3,0,500552,37679,17503,9114,29470,4.63
588773,0,0,0,377160,58374,42190,17641,93406,4.03
580160,0.2,0.4,0,450545,63282,26052,9697,30581,4.54
571894,0.1,0.3,0,324049,96083,55078,27180,69501,4.01
560947,0,0,0,343285,94364,61079,20066,42150,4.21
553085,0.4,0.7,0,417161,51029,24360,9592,50939,4.4
531922,0,0.1,0,353551,83290,33656,15378,46044,4.28
528633,1.1,2.4,0,434295,55719,18969,6103,13545,4.69
502155,3.2,7,0,378387,43851,25859,11740,42316,4.4
500782,0.8,1.7,0,284229,73671,51337,25788,65755,3.97
494463,1.2,2.3,0,394660,41775,18966,9143,29916,4.54
493289,859.3,1.2,0,397005,52853,19376,6405,17647,4.63
479556,1.8,4.2,0,365442,36401,18912,11536,47261,4.38
476489,0,0.1,0,330135,64298,32019,11508,38527,4.33
473037,0.1,0.1,0,296581,49238,44288,17779,65148,4.04
466001,0,0.1,0,341438,51488,28267,8847,35958,4.4
462728,0.2,0.4,0,253101,61198,44358,28292,75776,3.84
461521,1.2,2.5,0,312383,61234,27577,13638,46687,4.25
460768,0.8,2,0,310141,53367,29556,12688,55013,4.2
459075,0.2,0.4,0,369343,47744,17674,6328,17984,4.62
451660,0.2,0.3,0,300896,68275,33278,12973,36235,4.29
447351,1.1,2.3,0,294043,51149,27853,12672,61632,4.13
446214,0.1,0.2,0,332108,57547,25741,8980,21836,4.5
444563,0.4,0.9,0,267057,57315,40846,22798,56545,4.02
443280,0.6,1.3,0,305278,36305,24626,15697,61371,4.15
443069,0.9,1.9,0,266158,45126,35593,22503,73687,3.92
437588,0.1,0.2,0,308926,54591,26725,10594,36750,4.34
7048207,1.9,3.5,0,5000168,740371,358940,193765,754961,4.28
2445882,1.7,3.8,0,1876001,349423,103995,36259,80201,4.6
2418516,0.2,0.5,0,1761313,126260,77314,40827,412800,4.15
2063204,1.7,3.3,0,1525492,174590,91167,46972,224980,4.32
1596758,0,0,0,666378,138474,141241,89312,561350,3.16
1582025,0.3,0.7,0,1105647,298621,79524,25482,72749,4.48
1514642,2.4,5,0,1060550,206896,93112,38989,115093,4.36
1242490,0.1,0.2,0,965860,69309,40832,16780,149706,4.36
1219836,3,6.1,0,944530,124068,54027,25310,71898,4.51
1208628,2.4,5,0,884572,108121,53324,27010,135599,4.31
1021929,7.5,16.5,0,716387,50974,38039,25526,191001,4.05
998776,4,9.7,0,780172,135100,31645,13616,38240,4.61
928025,1.7,3.3,0,673962,122577,49476,19674,62333,4.43
758481,1.8,4.1,0,577133,101989,34574,14423,30360,4.56
735571,1.6,2.8,0,586766,56989,29822,11245,50747,4.52
646251,0.6,1.3,0,491446,71693,33722,16666,32722,4.5
596457,0.1,0.2,0,482591,54478,28315,10380,20691,4.62
588940,0.4,1.1,0,411456,133606,32789,4314,6771,4.59
570035,0.4,0.8,0,442106,24944,15124,7901,79957,4.3
566405,2.2,4.7,0,410189,45241,30537,16583,63853,4.27
565637,0.2,0.5,0,460107,37172,21810,9842,36703,4.55
537909,1.8,4,0,359579,68669,37353,19010,53295,4.23
530144,11.2,30.3,0,420563,53010,15633,6644,34292,4.54
472888,1,2.2,0,341542,50923,28129,13939,38352,4.36
467771,0.3,0.7,0,388433,34151,16681,6656,21848,4.63
465371,0.1,0.3,0,272186,23114,15782,8430,145857,3.57
463987,0.4,0.9,0,338050,67242,18359,8241,32092,4.45
401171,0.4,0.9,0,254575,65390,27284,12019,41900,4.19
393231,0.9,1.7,0,356432,16830,6506,2768,10693,4.79
389981,0.2,0.4,0,277481,88066,17967,2328,4137,4.62
355406,0.1,0.3,0,244641,40616,24172,10846,35128,4.26
349584,0.3,0.6,0,231256,65515,21098,8965,22747,4.35
347394,0.7,1.5,0,227594,57334,27137,9633,25693,4.3
318741,2.4,6,0,244001,45906,16466,4089,8277,4.61
309585,0.7,1.5,0,245490,34351,15626,5188,8927,4.62
309495,0.5,1.2,0,177871,52454,25381,11298,42488,4.01
302263,0.1,0.3,0,189211,25983,21594,13746,51726,3.95
